;Maior65Anos;Conjuge;Dependentes;TelefoneFixo;PagamentoOnline;ContaMensal;MesesDeContrato;ContaMensal;VariasLinhasTelefonicas_Nao;VariasLinhasTelefonicas_SemServicoTelefonico;VariasLinhasTelefonicas_Sim;ServicoDeInternet_DSL;ServicoDeInternet_FibraOptica;ServicoDeInternet_Nao;SegurancaOnline_Nao;SegurancaOnline_SemServicoDeInternet;SegurancaOnline_Sim;BackupOnline_Nao;BackupOnline_SemServicoDeInternet;BackupOnline_Sim;SeguroNoDispositivo_Nao;SeguroNoDispositivo_SemServicoDeInternet;SeguroNoDispositivo_Sim;SuporteTecnico_Nao;SuporteTecnico_SemServicoDeInternet;SuporteTecnico_Sim;TVaCabo_Nao;TVaCabo_SemServicoDeInternet;TVaCabo_Sim;StreamingDeFilmes_Nao;StreamingDeFilmes_SemServicoDeInternet;StreamingDeFilmes_Sim;TipoDeContrato_DoisAnos;TipoDeContrato_Mensalmente;TipoDeContrato_UmAno;FormaDePagamento_CartaoDeCredito;FormaDePagamento_ChequeDigital;FormaDePagamento_ChequePapel;FormaDePagamento_DebitoEmConta;Churn
0;0;1;0;0;1;29.85;1;29.85;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0
1;0;0;0;1;0;56.95;34;56.95;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0
2;0;0;0;1;1;53.85;2;53.85;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
3;0;0;1;0;0;42.30;45;42.30;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0
4;0;0;0;1;1;70.70;2;70.70;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
5;0;0;0;1;1;99.65;8;99.65;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1
6;0;1;1;1;1;89.10;22;89.10;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0
7;0;0;0;0;0;29.75;10;29.75;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0
8;0;1;0;1;1;104.80;28;104.80;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1
9;0;0;1;1;0;56.15;62;56.15;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0
